County_FIPS,D,I,R
40031.0,35.19,5.88,58.92
40033.0,16.29,4.76,78.93
40035.0,21.61,4.32,74.05
40037.0,20.26,4.9,74.82
40039.0,19.96,5.8,74.23
40041.0,21.08,3.68,75.22
40043.0,9.88,2.67,87.44
40045.0,8.48,3.34,88.17
40047.0,20.24,6.0,73.75
40049.0,17.58,4.14,78.27
40051.0,17.42,4.87,77.69
40053.0,13.04,3.9,83.04
40055.0,17.03,4.79,78.16
40057.0,22.97,3.79,73.23
40059.0,8.82,3.16,88.01
40061.0,18.63,3.27,78.09
40063.0,21.23,3.91,74.85
40065.0,18.87,4.66,76.46
40067.0,15.56,3.19,81.23
40069.0,19.54,3.44,77.0
40071.0,22.23,5.31,72.45
40073.0,12.78,3.08,84.12
40075.0,21.95,3.72,74.31
40077.0,19.67,3.92,76.39
40081.0,17.3,5.28,77.4
40083.0,22.37,5.78,71.84
40085.0,19.4,3.48,77.1
40087.0,17.18,4.72,78.09
40089.0,16.79,2.5,80.69
40091.0,26.66,4.2,69.12
40093.0,9.12,4.38,86.49
40095.0,19.95,3.46,76.58
40097.0,21.78,4.7,73.51
40099.0,19.65,4.81,75.52
40101.0,32.93,4.93,62.12
40103.0,18.5,5.37,76.11
40105.0,17.51,4.1,78.38
40107.0,23.97,5.05,70.96
40109.0,41.17,7.13,51.69
40111.0,31.44,4.44,64.1
40113.0,29.52,4.17,66.3
40115.0,24.18,4.44,71.37
40117.0,21.13,4.55,74.31
40119.0,31.65,8.36,59.98
40121.0,21.47,4.67,73.85
40123.0,24.52,5.13,70.33
40125.0,23.62,6.23,70.13
40127.0,16.68,3.43,79.87
40129.0,8.58,3.46,87.94
40131.0,19.33,5.01,75.65
40133.0,25.73,4.39,69.87
40135.0,21.2,3.38,75.41
40137.0,17.24,3.55,79.2
40139.0,14.81,5.21,79.96
40141.0,24.27,3.88,71.84
40143.0,35.55,6.04,58.39
40145.0,21.47,5.01,73.5
40147.0,22.72,6.08,71.19
40149.0,12.7,4.08,83.21
40151.0,14.21,5.42,80.35
40153.0,11.5,4.92,83.57
41001.0,21.0,3.165,72.65
41003.0,62.38,4.51,28.58
41005.0,49.51,3.535,43.4
41007.0,49.0,4.025,42.92
41009.0,39.71,4.285,51.7
41011.0,34.3,3.52,58.64
41013.0,22.26,2.83,72.07
41015.0,34.96,3.09,58.84
41017.0,44.4,3.69,48.2
41019.0,27.05,3.255,66.43
41021.0,23.58,4.48,67.44
41023.0,17.54,3.015,76.4
41025.0,17.71,3.425,75.42
41027.0,61.24,3.85,31.04
41029.0,41.96,3.445,51.14
41031.0,32.58,3.63,60.14
41033.0,31.03,3.29,62.38
41035.0,24.21,3.395,68.98
41037.0,16.46,2.42,78.68
41039.0,55.5,3.96,36.56
41041.0,51.17,3.81,41.19
41043.0,31.89,4.185,59.72
41045.0,22.24,2.99,71.76
41047.0,44.04,3.45,49.03
41049.0,25.16,3.595,67.63
41051.0,75.95,3.205,17.62
41053.0,42.5,3.985,49.5
41055.0,20.54,2.79,73.85
41057.0,42.99,4.045,48.91
41059.0,28.58,3.585,64.23
41061.0,25.84,3.465,67.21
41063.0,26.26,3.05,67.63
41065.0,41.18,3.98,50.84
41067.0,59.39,3.94,32.71
41069.0,19.31,3.53,73.61
41071.0,41.3,4.31,50.06
42001.0,29.86,1.27666666667,66.29
42003.0,56.44,1.17,40.03
42005.0,22.49,1.00333333333,74.47
42007.0,38.24,1.14666666667,58.3
42009.0,15.37,0.613333333333,82.77
42011.0,42.72,1.45,52.91
42013.0,25.16,1.09333333333,71.54
42015.0,24.65,1.54333333333,70.69
42017.0,48.41,1.24666666667,47.83
42019.0,29.15,1.37333333333,66.7
42021.0,29.58,1.02666666667,67.32
42023.0,23.17,0.983333333333,73.86
42025.0,31.04,1.26,65.15
42027.0,48.48,1.65,46.55
42029.0,52.57,1.35333333333,43.34
42031.0,24.34,1.29333333333,71.76
42033.0,23.55,1.09666666667,73.13
42035.0,30.54,1.35666666667,65.37
42037.0,31.34,1.51666666667,64.09
42039.0,28.72,1.34333333333,67.23
42041.0,38.48,1.48333333333,57.05
42043.0,49.39,1.34,46.57
42045.0,59.39,1.06333333333,37.41
42047.0,26.25,1.22666666667,70.04
42049.0,46.75,1.49,48.76
42051.0,33.36,0.753333333333,64.36
42053.0,26.1,1.27666666667,70.05
42055.0,24.97,1.18,71.46
42057.0,13.4,0.796666666667,84.17
42059.0,27.79,0.893333333333,69.5
42061.0,23.01,1.09,73.7
42063.0,30.39,1.17666666667,66.05
42065.0,18.52,1.04,78.34
42067.0,17.4,1.14333333333,79.15
42069.0,50.21,0.983333333333,46.81
42071.0,37.66,1.66,57.34
42073.0,34.35,1.06666666667,62.44
42075.0,30.31,1.26333333333,65.87
42077.0,50.37,1.22666666667,45.92
42079.0,38.76,0.94,58.39
42081.0,25.7,1.25,70.53
42083.0,24.41,1.30333333333,71.66
42085.0,35.55,1.29,60.55
42087.0,19.53,1.14,77.03
42089.0,48.41,1.16333333333,48.08
42091.0,58.72,1.21333333333,37.61
42093.0,33.4,1.59666666667,61.79
42095.0,46.18,1.27,49.99
42097.0,26.26,1.30333333333,69.82
42099.0,21.88,1.43,73.8
42101.0,82.4,0.693333333333,15.49
42103.0,35.47,0.996666666667,61.51
42105.0,16.71,0.98,80.32
42107.0,26.65,1.10666666667,70.01
42109.0,24.43,1.28333333333,71.69
42111.0,20.61,0.943333333333,76.53
42113.0,23.86,0.986666666667,73.16
42115.0,26.38,1.45666666667,69.24
42117.0,21.01,1.46666666667,74.58
42119.0,35.27,1.25666666667,60.94
42121.0,26.65,1.43333333333,69.03
42123.0,27.39,1.44,68.27
42125.0,35.52,1.22333333333,60.79
42127.0,28.6,1.03666666667,68.27
42129.0,32.74,1.06,64.06
42131.0,28.77,1.25666666667,67.44
42133.0,33.19,1.43666666667,62.48
44001.0,57.4,3.7,35.2
44003.0,46.0,3.6,46.7
44005.0,55.7,3.8,36.7
44007.0,57.4,2.95,36.6
44009.0,50.8,4.05,41.1
45001.0,34.61,0.5,62.86
45003.0,34.0,0.896,61.49
45005.0,76.07,0.374,22.02
45007.0,26.2,0.778,69.87
45009.0,62.72,0.356,35.46
