County_FIPS,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black
26079,17204,50.7,49.3,21.9,1.6,95.2,0.7
26081,615381,49.1,50.9,14.6,9.9,75.4,9.3
26083,2197,53.5,46.5,35.7,0.5,97.9,0.9
26085,11431,51.1,48.9,30.2,2.3,85.6,8.5
26087,88155,50.4,49.6,18.3,4.3,92.6,1.2
26089,21739,49.2,50.8,32.0,3.8,90.7,0.5
26091,99257,50.7,49.3,19.6,7.6,87.3,2.2
26093,183264,50.0,50.0,17.0,2.1,95.0,0.4
26095,6512,58.6,41.4,22.7,1.3,79.3,9.3
26097,11080,50.3,49.7,29.3,1.4,75.0,1.4
26099,849344,48.6,51.4,18.4,2.4,82.1,9.8
26101,24545,51.7,48.3,26.5,2.8,90.0,2.7
26103,67535,50.6,49.4,19.2,1.3,92.7,1.6
26105,28705,49.7,50.3,24.8,4.2,92.2,0.7
26107,43226,50.3,49.7,19.8,2.0,91.8,2.7
26109,23838,50.4,49.6,25.5,1.4,93.9,0.4
26111,83620,49.1,50.9,18.8,2.3,92.2,1.3
26113,14986,51.1,48.9,22.4,2.4,95.1,0.2
26115,150851,49.3,50.7,18.4,3.2,92.1,2.3
26117,63046,51.7,48.3,18.7,3.2,92.2,2.1
26119,9506,50.7,49.3,32.8,1.2,96.5,0.2
26121,171328,49.6,50.4,17.6,5.1,77.1,13.4
26123,48126,50.4,49.6,20.6,5.7,90.7,1.3
26125,1220798,48.5,51.5,17.7,3.6,74.0,13.7
26127,26325,50.2,49.8,22.1,14.1,82.9,0.3
26129,21373,49.8,50.2,27.9,1.7,95.7,0.3
26131,6448,51.7,48.3,35.5,1.0,96.0,0.6
26133,23327,50.2,49.8,21.9,1.5,95.4,0.6
26135,8525,51.4,48.6,29.7,1.1,96.3,0.3
26137,24126,49.2,50.8,22.4,1.4,95.3,0.3
26139,269795,49.1,50.9,15.4,9.1,85.0,1.3
26141,13128,50.1,49.9,33.2,1.0,96.5,0.4
26143,24141,50.0,50.0,34.6,1.3,96.0,0.3
26145,197727,48.4,51.6,19.7,8.0,70.2,18.2
26147,161008,49.6,50.4,19.7,3.0,91.9,2.2
26149,60998,49.6,50.4,19.4,6.9,87.5,2.8
26151,42301,49.5,50.5,22.6,3.6,94.4,0.5
26153,8345,49.6,50.4,28.1,0.9,86.5,0.5
26155,69553,49.4,50.6,19.1,2.6,94.7,0.6
26157,54795,50.2,49.8,21.2,3.0,93.9,1.1
26159,75569,49.5,50.5,19.0,10.7,82.1,3.7
26161,351454,49.3,50.7,14.2,4.3,71.4,11.9
26163,1790078,48.1,51.9,16.6,5.5,49.8,39.5
26165,32699,50.1,49.9,20.5,1.7,95.1,0.4
27001,15964,50.8,49.2,34.2,1.1,94.6,0.4
27003,336316,50.0,50.0,13.9,3.8,84.3,4.7
27005,32971,50.2,49.8,22.6,1.6,87.2,0.4
27007,45236,50.1,49.9,17.1,1.8,73.7,0.8
27009,38980,50.0,50.0,15.7,1.8,93.0,2.4
27011,5180,48.8,51.2,30.0,1.1,97.4,0.3
27013,64720,50.3,49.7,15.0,2.8,90.3,2.9
27015,25513,49.6,50.4,23.4,3.5,94.8,0.4
27017,35430,51.6,48.4,19.4,1.6,88.7,1.3
